Id,Name,Currency,Base,Counter,Volume($),Price($),Volume(%),Date
,,,,,,,,
1, Bitfinex ,Bitcoin,BTC,USD,"1,432,140,000",17096,24.06%,2017-12-20
,,,,,,,,
2, Bitfinex ,Bitcoin Cash,BCH,USD,"1,034,440,000",3539.9,17.38%,2017-12-20
,,,,,,,,
3, Bitfinex ,Bitcoin Cash,BCH,BTC,"658,619,000",3600.33,11.06%,2017-12-20
,,,,,,,,
4, Bitfinex ,IOTA,MIOTA,USD,"587,053,000",5.14,9.86%,2017-12-20
,,,,,,,,
5, Bitfinex ,Ethereum,ETH,USD,"387,801,000",798.24,6.51%,2017-12-20
,,,,,,,,
6, Bitfinex ,Litecoin,LTC,USD,"176,397,000",324,2.96%,2017-12-20
,,,,,,,,
7, Bitfinex ,EOS,EOS,USD,"173,437,000",10.74,2.91%,2017-12-20
,,,,,,,,
8, Bitfinex ,IOTA,MIOTA,BTC,"154,352,000",5.21,2.59%,2017-12-20
,,,,,,,,
9, Bitfinex ,Ethereum,ETH,BTC,"127,436,000",812.08,2.14%,2017-12-20
,,,,,,,,
10, Bitfinex ,Bitcoin,BTC,EUR,"125,395,000",17085.2,2.11%,2017-12-20
,,,,,,,,
11, Bitfinex ,Ripple,XRP,USD,"98,690,200",0.70981,1.66%,2017-12-20
,,,,,,,,
12, Bitfinex ,Ethereum Classic,ETC,USD,"78,926,900",38.99,1.33%,2017-12-20
,,,,,,,,
13, Bitfinex ,Dash,DASH,USD,"77,912,800",1444.4,1.31%,2017-12-20
,,,,,,,,
14, Bitfinex ,Monero,XMR,USD,"71,561,000",418.05,1.20%,2017-12-20
,,,,,,,,
15, Bitfinex ,OmiseGO,OMG,USD,"65,431,400",18,1.10%,2017-12-20
,,,,,,,,
16, Bitfinex ,Litecoin,LTC,BTC,"55,420,300",329.98,0.93%,2017-12-20
,,,,,,,,
17, Bitfinex ,NEO,NEO,USD,"54,131,900",68.37,0.91%,2017-12-20
,,,,,,,,
18, Bitfinex ,EOS,EOS,BTC,"52,327,600",10.97,0.88%,2017-12-20
,,,,,,,,
19, Bitfinex ,Bitcoin Gold,BTG,USD,"48,784,500",386.2,0.82%,2017-12-20
,,,,,,,,
20, Bitfinex ,Zcash,ZEC,USD,"47,384,100",623.16,0.80%,2017-12-20
,,,,,,,,
21, Bitfinex ,Monero,XMR,BTC,"46,087,700",424.6,0.77%,2017-12-20
,,,,,,,,
22, Bitfinex ,Tether,USDT,USD,"43,882,500",1,0.74%,2017-12-20
,,,,,,,,
23, Bitfinex ,Dash,DASH,BTC,"41,034,200",1476.09,0.69%,2017-12-20
,,,,,,,,
24, Bitfinex ,Bitcoin Cash,BCH,ETH,"39,462,500",3566.82,0.66%,2017-12-20
,,,,,,,,
25, Bitfinex ,Ripple,XRP,BTC,"29,863,600",0.720413,0.50%,2017-12-20
,,,,,,,,
26, Bitfinex ,Zcash,ZEC,BTC,"25,415,100",635.7,0.43%,2017-12-20
,,,,,,,,
27, Bitfinex ,Ethereum Classic,ETC,BTC,"23,588,500",39.63,0.40%,2017-12-20
,,,,,,,,
28, Bitfinex ,Qtum,QTUM,USD,"22,323,500",55.9,0.38%,2017-12-20
,,,,,,,,
29, Bitfinex ,IOTA,MIOTA,ETH,"19,433,200",5.19,0.33%,2017-12-20
,,,,,,,,
30, Bitfinex ,Bitcoin Gold,BTG,BTC,"18,268,800",391.93,0.31%,2017-12-20
,,,,,,,,
31, Bitfinex ,EOS,EOS,ETH,"17,461,500",10.85,0.29%,2017-12-20
,,,,,,,,
32, Bitfinex ,NEO,NEO,BTC,"15,939,700",69.64,0.27%,2017-12-20
,,,,,,,,
33, Bitfinex ,OmiseGO,OMG,BTC,"13,946,900",18.22,0.23%,2017-12-20
,,,,,,,,
34, Bitfinex ,Streamr DATAcoin,DATA,USD,"11,888,100",0.261,0.20%,2017-12-20
,,,,,,,,
35, Bitfinex ,Metaverse ETP,ETP,USD,"9,043,880",4.19,0.15%,2017-12-20
,,,,,,,,
