Id,Name,Currency,Base,Counter,Volume($),Price($),Volume(%),Date
1, Bitfinex ,Bitcoin,BTC,USD,"1,380,370,000",16800.00,23.45%,2017-12-21
2, Bitfinex ,Bitcoin Cash,BCH,USD,"1,116,340,000",3622.00,18.96%,2017-12-21
3, Bitfinex ,Bitcoin Cash,BCH,BTC,"698,089,000",3693.21,11.86%,2017-12-21
4, Bitfinex ,IOTA,MIOTA,USD,"515,321,000",5.09,8.75%,2017-12-21
5, Bitfinex ,Ethereum,ETH,USD,"375,461,000",795.61,6.38%,2017-12-21
6, Bitfinex ,Litecoin,LTC,USD,"171,223,000",310.62,2.91%,2017-12-21
7, Bitfinex ,EOS,EOS,USD,"166,337,000",10.64,2.83%,2017-12-21
8, Bitfinex ,IOTA,MIOTA,BTC,"132,730,000",5.22,2.25%,2017-12-21
9, Bitfinex ,Bitcoin,BTC,EUR,"126,005,000",16775.40,2.14%,2017-12-21
10, Bitfinex ,Ethereum,ETH,BTC,"121,270,000",808.30,2.06%,2017-12-21
11, Bitfinex ,Ripple,XRP,USD,"97,364,700",0.707000,1.65%,2017-12-21
12, Bitfinex ,Dash,DASH,USD,"82,259,000",1456.60,1.40%,2017-12-21
13, Bitfinex ,Ethereum Classic,ETC,USD,"77,500,700",38.83,1.32%,2017-12-21
14, Bitfinex ,Monero,XMR,USD,"68,891,000",412.68,1.17%,2017-12-21
15, Bitfinex ,OmiseGO,OMG,USD,"62,040,400",17.36,1.05%,2017-12-21
16, Bitfinex ,Litecoin,LTC,BTC,"54,847,000",315.54,0.93%,2017-12-21
17, Bitfinex ,NEO,NEO,USD,"52,457,700",68.64,0.89%,2017-12-21
18, Bitfinex ,Bitcoin Gold,BTG,USD,"52,208,700",390.00,0.89%,2017-12-21
19, Bitfinex ,Zcash,ZEC,USD,"47,193,200",620.95,0.80%,2017-12-21
20, Bitfinex ,EOS,EOS,BTC,"46,587,700",10.79,0.79%,2017-12-21
21, Bitfinex ,Monero,XMR,BTC,"44,905,300",420.70,0.76%,2017-12-21
22, Bitfinex ,Tether,USDT,USD,"43,603,600",1.00,0.74%,2017-12-21
23, Bitfinex ,Dash,DASH,BTC,"43,401,700",1475.93,0.74%,2017-12-21
24, Bitfinex ,Bitcoin Cash,BCH,ETH,"43,009,100",3658.85,0.73%,2017-12-21
25, Bitfinex ,Ripple,XRP,BTC,"29,394,300",0.718290,0.50%,2017-12-21
26, Bitfinex ,Zcash,ZEC,BTC,"26,031,400",631.07,0.44%,2017-12-21
27, Bitfinex ,Ethereum Classic,ETC,BTC,"23,706,300",39.80,0.40%,2017-12-21
