Date,Currency,Base,Counter,Cropto,Price,Percent,rAlign
2017-12-21 00:55:00,비트코인캐시,BCC,KRW,None,"4,969,000",+44.57%,"1,027,694백만"
2017-12-21 00:55:00,비트코인,BTC,KRW,None,"22,103,000",-1.18%,"940,237백만"
2017-12-21 00:55:00,아인스타이늄,EMC2,KRW,None,"2,040",-14.82%,"615,510백만"
2017-12-21 00:55:00,퀀텀,QTUM,KRW,None,"73,170",-6.83%,"574,652백만"
2017-12-21 00:55:00,비트코인골드,BTG,KRW,None,"545,200",+34.29%,"420,020백만"
2017-12-21 00:55:00,에이다,ADA,KRW,None,634,-4.37%,"387,810백만"
2017-12-21 00:55:00,스테이터스네트워크토큰,SNT,KRW,None,244,-3.94%,"363,514백만"
2017-12-21 00:55:00,어거,REP,KRW,None,"115,100",-23.11%,"213,675백만"
2017-12-21 00:55:00,스텔라루멘,XLM,KRW,None,341,+1.79%,"199,186백만"
2017-12-21 00:55:00,이더리움클래식,ETC,KRW,None,"51,590",+7.43%,"175,462백만"
2017-12-21 00:55:00,아크,ARK,KRW,None,"9,990",+21.83%,"138,304백만"
2017-12-21 00:55:00,모네로,XMR,KRW,None,"606,900",+33.30%,"126,560백만"
2017-12-21 00:55:00,코모도,KMD,KRW,None,"10,000",+34.95%,"122,021백만"
2017-12-21 00:55:00,이더리움,ETH,KRW,None,"1,065,000",+3.65%,"107,047백만"
2017-12-21 00:55:00,리플,XRP,KRW,None,938,-0.21%,"95,897백만"
2017-12-21 00:55:00,뉴이코노미무브먼트,XEM,KRW,None,"1,230",+5.13%,"95,121백만"
2017-12-21 00:55:00,스토리지,STORJ,KRW,None,"2,105",+22.74%,"90,300백만"
2017-12-21 00:55:00,네오,NEO,KRW,None,"91,220",+1.03%,"88,280백만"
2017-12-21 00:55:00,그로스톨코인,GRS,KRW,None,"2,820",+2.55%,"76,768백만"
2017-12-21 00:55:00,대시,DASH,KRW,None,"1,926,000",+32.83%,"76,467백만"
2017-12-21 00:55:00,라이트코인,LTC,KRW,None,"414,450",-4.76%,"75,657백만"
2017-12-21 00:55:00,스트라티스,STRAT,KRW,None,"14,640",-3.05%,"63,161백만"
2017-12-21 00:55:00,스팀달러,SBD,KRW,None,"17,010",-6.79%,"54,366백만"
2017-12-21 00:55:00,파워렛저,POWR,KRW,None,"1,340",-0.37%,"52,735백만"
2017-12-21 00:55:00,블록틱스,TIX,KRW,None,"1,700",-1.16%,"47,745백만"
2017-12-21 00:55:00,머큐리,MER,KRW,None,"1,025",-5.09%,"47,384백만"
2017-12-21 00:55:00,아더,ARDR,KRW,None,"1,360",-2.86%,"45,957백만"
2017-12-21 00:55:00,지캐시,ZEC,KRW,None,"851,500",+12.11%,"45,056백만"
2017-12-21 00:55:00,오미세고,OMG,KRW,None,"22,720",-2.07%,"44,427백만"
